ticker,company_name,sector,industry
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals
INTU,Intuit,Information Technology,Application Software
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
IVZ,Invesco,Financials,Asset Management & Custody Banks
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
IQV,IQVIA,Health Care,Life Sciences Tools & Services
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
JBL,Jabil,Information Technology,Electronic Manufacturing Services
IRM,Iron Mountain,Real Estate,Other Specialized REITs
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
JCI,Johnson Controls,Industrials,Building Products
J,Jacobs Solutions,Industrials,Construction & Engineering
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
JPM,JPMorgan Chase,Financials,Diversified Banks
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
KEY,KeyCorp,Financials,Regional Banks
KMB,Kimberly-Clark,Consumer Staples,Household Products
KVUE,Kenvue,Consumer Staples,Personal Care Products
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
KKR,KKR & Co.,Financials,Asset Management & Custody Banks
KIM,Kimco Realty,Real Estate,Retail REITs
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
LH,Labcorp,Health Care,Health Care Services
LHX,L3Harris,Industrials,Aerospace & Defense
KR,Kroger,Consumer Staples,Food Retail
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
LLY,Lilly (Eli),Health Care,Pharmaceuticals
LEN,Lennar,Consumer Discretionary,Homebuilding
LDOS,Leidos,Industrials,Diversified Support Services
LII,Lennox International,Industrials,Building Products
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
LMT,Lockheed Martin,Industrials,Aerospace & Defense
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
L,Loews Corporation,Financials,Multi-line Insurance
LIN,Linde plc,Materials,Industrial Gases
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
LYB,LyondellBasell,Materials,Specialty Chemicals
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
MTB,M&T Bank,Financials,Regional Banks
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,Financials,Insurance Brokers
MAS,Masco,Industrials,Building Products
MTCH,Match Group,Communication Services,Interactive Media & Services
MA,Mastercard,Financials,Transaction & Payment Processing Services
MLM,Martin Marietta Materials,Materials,Construction Materials
MRK,Merck & Co.,Health Care,Pharmaceuticals
MCD,McDonald's,Consumer Discretionary,Restaurants
MCK,McKesson Corporation,Health Care,Health Care Distributors
MDT,Medtronic,Health Care,Health Care Equipment
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
META,Meta Platforms,Communication Services,Interactive Media & Services
MCHP,Microchip Technology,Information Technology,Semiconductors
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
MET,MetLife,Financials,Life & Health Insurance
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
MOH,Molina Healthcare,Health Care,Managed Health Care
MU,Micron Technology,Information Technology,Semiconductors
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
MRNA,Moderna,Health Care,Biotechnology
MSFT,Microsoft,Information Technology,Systems Software
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MPWR,Monolithic Power Systems,Information Technology,Semiconductors
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MS,Morgan Stanley,Financials,Investment Banking & Brokerage
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data
MSI,Motorola Solutions,Information Technology,Communications Equipment
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
NEM,Newmont,Materials,Gold
NFLX,Netflix,Communication Services,Movies & Entertainment
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
NWSA,News Corp (Class A),Communication Services,Publishing
NWS,News Corp (Class B),Communication Services,Publishing
NEE,NextEra Energy,Utilities,Multi-Utilities
NSC,Norfolk Southern,Industrials,Rail Transportation
NI,NiSource,Utilities,Multi-Utilities
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NUE,Nucor,Materials,Steel
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
NOC,Northrop Grumman,Industrials,Aerospace & Defense
NTRS,Northern Trust,Financials,Asset Management & Custody Banks
NVDA,Nvidia,Information Technology,Semiconductors
NXPI,NXP Semiconductors,Information Technology,Semiconductors
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
ODFL,Old Dominion,Industrials,Cargo Ground Transportation
OMC,Omnicom Group,Communication Services,Advertising
ON,ON Semiconductor,Information Technology,Semiconductors
OKE,Oneok,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,Information Technology,Application Software
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
PANW,Palo Alto Networks,Information Technology,Systems Software
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
PLTR,Palantir Technologies,Information Technology,Application Software
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment
PAYX,Paychex,Industrials,Human Resource & Employment Services
PAYC,Paycom,Industrials,Human Resource & Employment Services
PYPL,PayPal,Financials,Transaction & Payment Processing Services
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Pfizer,Health Care,Pharmaceuticals
PM,Philip Morris International,Consumer Staples,Tobacco
PCG,PG&E Corporation,Utilities,Multi-Utilities
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West Capital,Utilities,Multi-Utilities
PNC,PNC Financial Services,Financials,Diversified Banks
PPG,PPG Industries,Materials,Specialty Chemicals
POOL,Pool Corporation,Consumer Discretionary,Distributors
PPL,PPL Corporation,Utilities,Electric Utilities
PGR,Progressive Corporation,Financials,Property & Casualty Insurance
PLD,Prologis,Real Estate,Industrial REITs
PG,Procter & Gamble,Consumer Staples,Personal Care Products
PFG,Principal Financial Group,Financials,Life & Health Insurance
PRU,Prudential Financial,Financials,Life & Health Insurance
PTC,PTC Inc.,Information Technology,Application Software
PSA,Public Storage,Real Estate,Self-Storage REITs
PWR,Quanta Services,Industrials,Construction & Engineering
PEG,Public Service Enterprise Group,Utilities,Electric Utilities
PHM,PulteGroup,Consumer Discretionary,Homebuilding
QCOM,Qualcomm,Information Technology,Semiconductors
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment
DGX,Quest Diagnostics,Health Care,Health Care Services
O,Realty Income,Real Estate,Retail REITs
RTX,RTX Corporation,Industrials,Aerospace & Defense
REG,Regency Centers,Real Estate,Retail REITs
RF,Regions Financial Corporation,Financials,Regional Banks
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
RVTY,Revvity,Health Care,Health Care Equipment
RSG,Republic Services,Industrials,Environmental & Facilities Services
RMD,ResMed,Health Care,Health Care Equipment
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
ROST,Ross Stores,Consumer Discretionary,Apparel Retail
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,S&P Global,Financials,Financial Exchanges & Data
SBAC,SBA Communications,Real Estate,Telecom Tower REITs
CRM,Salesforce,Information Technology,Application Software
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals"
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
NOW,ServiceNow,Information Technology,Systems Software
SPG,Simon Property Group,Real Estate,Retail REITs
SHW,Sherwin-Williams,Materials,Specialty Chemicals
SRE,Sempra,Utilities,Multi-Utilities
SWKS,Skyworks Solutions,Information Technology,Semiconductors
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials
SOLV,Solventum,Health Care,Health Care Technology
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
SO,Southern Company,Utilities,Electric Utilities
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
LUV,Southwest Airlines,Industrials,Passenger Airlines
SBUX,Starbucks,Consumer Discretionary,Restaurants
STLD,Steel Dynamics,Materials,Steel
STT,State Street Corporation,Financials,Asset Management & Custody Banks
STE,Steris,Health Care,Health Care Equipment
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
SYK,Stryker Corporation,Health Care,Health Care Equipment
SNPS,Synopsys,Information Technology,Application Software
SYF,Synchrony Financial,Financials,Consumer Finance
SYY,Sysco,Consumer Staples,Food Distributors
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
TXT,Textron,Industrials,Aerospace & Defense
TXN,Texas Instruments,Information Technology,Semiconductors
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
TJX,TJX Companies,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment
TTD,Trade Desk (The),Communication Services,Advertising
TT,Trane Technologies,Industrials,Building Products
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
TDG,TransDigm Group,Industrials,Aerospace & Defense
TYL,Tyler Technologies,Information Technology,Application Software
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
TFC,Truist Financial,Financials,Diversified Banks
UBER,Uber,Industrials,Passenger Ground Transportation
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bancorp,Financials,Diversified Banks
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
UAL,United Airlines Holdings,Industrials,Passenger Airlines
UNP,Union Pacific Corporation,Industrials,Rail Transportation
URI,United Rentals,Industrials,Trading Companies & Distributors
UPS,United Parcel Service,Industrials,Air Freight & Logistics
UNH,UnitedHealth Group,Health Care,Managed Health Care
UHS,Universal Health Services,Health Care,Health Care Facilities
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
VTR,Ventas,Real Estate,Health Care REITs
VLTO,Veralto,Industrials,Environmental & Facilities Services
VRSN,Verisign,Information Technology,Internet Services & Infrastructure
VZ,Verizon,Communication Services,Integrated Telecommunication Services
VRSK,Verisk Analytics,Industrials,Research & Consulting Services
VTRS,Viatris,Health Care,Pharmaceuticals
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
VICI,Vici Properties,Real Estate,Hotel & Resort REITs
VST,Vistra Corp.,Utilities,Electric Utilities
V,Visa Inc.,Financials,Transaction & Payment Processing Services
VMC,Vulcan Materials Company,Materials,Construction Materials
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
WBD,Warner Bros. Discovery,Communication Services,Broadcasting
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WM,Waste Management,Industrials,Environmental & Facilities Services
WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,Wells Fargo,Financials,Diversified Banks
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WELL,Welltower,Real Estate,Health Care REITs
WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WY,Weyerhaeuser,Real Estate,Timber REITs
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail
WDAY,"Workday, Inc.",Information Technology,Application Software
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
WTW,Willis Towers Watson,Financials,Insurance Brokers
XEL,Xcel Energy,Utilities,Multi-Utilities
ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZTS,Zoetis,Health Care,Pharmaceuticals
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
YUM,Yum! Brands,Consumer Discretionary,Restaurants
